[['Germany', '5'], ['Scotland', '1']]
[['Hungary', '1'], ['Switzerland', '3']]
[['Spain', '3'], ['Croatia', '0']]
[['Italy', '2'], ['Albania', '1']]
[['Poland', '1'], ['Netherlands', '2']]
[['Slovenia', '1'], ['Denmark', '1']]
[['Serbia', '0'], ['England', '1']]
[['Romania', '3'], ['Ukraine', '0']]
[['Belgium', '0'], ['Slovakia', '1']]
[['Austria', '0'], ['France', '1']]
[['Turkiye', '3'], ['Georgia', '1']]
[['Portugal', '2'], ['Czechia', '1']]
[['Croatia', '2'], ['Albania', '2']]
[['Germany', '2'], ['Hungary', '0']]
[['Scotland', '1'], ['Switzerland', '1']]
[['Slovenia', '1'], ['Serbia', '1']]
[['Denmark', '1'], ['England', '1']]
[['Spain', '1'], ['Italy', '0']]
[['Slovakia', '1'], ['Ukraine', '2']]
[['Poland', '1'], ['Austria', '3']]
[['Netherlands', '0'], ['France', '0']]
